"Participant_ID","Progress","Duration_Seconds","Finished","Age","Uni","Full_Part","PTY","PTY_Other","Course_Duration","Current_Year","Course_Name","Gender","Perception_1","Perception_2","Perception_3","Perception_4","Perception_5","Perception_6","Perception_7","Perception_8","Perception_9","Perception_10","Perception_11","Perception_12","Perception_13","Perception_14","Perception_15","Perception_16","Awareness_1","Awareness_2","Awareness_3","Awareness_4","Awareness_5","Awareness_6","Awareness_7","Awareness_8","Experience_1","Experience_2","Experience_3","Experience_4","Experience_5","Experience_6","Experience_7","Experience_8","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","crisis_aware","crisis_learnt","understanding_crisis","os_explain","os_learnt","applicability","comments","include","exclude","UKRN","timepoint","ID","crisis_explain","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","Perception_Completed","Awareness_Completed","Experience_Completed","Knowledge_Completed","crisis_aware_Completed","crisis_learnt_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed","crisis_explain_Completed"
"AE3286","100",1091,"TRUE","21","UKRN04","Full-time","No","","3","Final Year","BSc Psychology ","Female ",1,2,2,1,1,1,1,1,1,-2,-1,2,-1,1,-1,-1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,-1,-1,1,1,1,1,1,"Many studies aren't able to be replicated ",0,0,1,"",1,0,"UKRN",2,342,0,8,0.5,4,0.5,2,2,1,1,1,1,1,1,1,1,1,1
"AE5016","100",796,"TRUE","19","UNI73","Full-time","No","","3","Year 1","BSc Psychology","Female ",1,1,0,0,0,1,1,1,-1,-1,-1,2,0,1,-1,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,-1,0,-1,1,0,1,1,"The fact that a lot of studies, particularly older ones, when replicated do not produce the same results ",0,0,1,"",1,0,"Non-UKRN",2,239,1,3,0.1875,2,0.25,2,0,1,1,1,1,1,1,1,1,1,1
"AE6392","100",61113,"TRUE","19","UNI08","Full-time","No","","3","Year 1","BSc Psychology","Female",1,-1,0,2,2,2,1,1,2,1,-1,2,1,1,-2,1,1,1,1,1,0,1,0,1,0,0,1,1,0,0,0,1,2,2,1,-1,0,-1,1,0,1,0,"Difficulty replicating many of the scientific studies.",0,0,1,"",1,0,"Non-UKRN",2,347,0,13,0.8125,4,0.5,6,3,1,1,1,1,1,1,1,1,1,1
"AF2807","100",977,"TRUE","22","UNI73","Full-time","No","","4","Year 2","Psychology","Female",1,1,1,1,2,1,2,1,1,-1,0,2,0,1,-1,-1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,-1,1,1,-1,-2,1,1,1,1,1,"Tha t there is not enough work that replicates previous findings to make sure they are reliable or replicable. Most research is done on new topics.",0,0,1,"",1,0,"Non-UKRN",2,241,0,11,0.6875,1,0.125,4,2,1,1,1,1,1,1,1,1,1,1
"AF438","100",904,"TRUE","22","UNI73","Full-time","No","","3","Year 1","Psychology","Gender fluid",2,1,0,1,1,1,2,2,1,0,1,1,0,-1,-1,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,1,-1,-2,-1,-1,0,1,0,NA,"",0,0,0,"",1,0,"Non-UKRN",2,242,NA,10,0.625,-2,-0.25,3,3,1,1,1,1,1,0,1,1,1,1
"AF7478","100",3872,"TRUE","20","UNI73","Full-time","No","","3","Final Year","BSc Criminology & Psychology","Female",2,2,1,2,2,2,2,-1,2,2,1,2,0,-1,-2,-1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,2,1,-1,1,1,1,1,1,"Replication studies don't get published in journals because they are not seen as interesting, so people are discouraged from replicating studies. This prevents ideas from being effectively disproven/challenged as non-replicating studies aren't published",0,0,1,"I'm joint honours",1,0,"Non-UKRN",2,258,1,15,0.9375,7,0.875,2,0,1,1,1,1,1,1,1,1,1,1
"AF8959","100",645,"TRUE","20","UNI06","Full-time","Yes","","4","Year 2","Psychology","Female",2,1,-1,1,-1,1,1,1,1,-1,1,1,1,1,-1,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,1,1,1,1,1,-1,1,1,1,0,NA,"",0,0,1,"",1,0,"Non-UKRN",2,544,NA,7,0.4375,6,0.75,3,2,1,1,1,1,1,0,1,1,1,1
"AG0936","100",6455,"TRUE","21","UNI10","Full-time","No","","3","Year 2","Psychology","Female",2,-2,2,1,2,0,2,0,1,1,1,2,-1,-2,0,-2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,-2,-2,2,1,1,0,NA,"",0,0,1,"",1,0,"Non-UKRN",2,459,NA,7,0.4375,3,0.375,3,0,1,1,1,1,1,0,1,1,1,1
"AG7794","100",4202,"TRUE","18","UNI06","Full-time","Yes","","4","Year 1","Psychology & Business","Female",1,2,2,2,0,0,1,0,1,-1,1,1,1,-1,-1,-1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,2,-1,-1,-2,-1,1,1,0,NA,"",1,0,1,"",1,0,"Non-UKRN",2,226,NA,8,0.5,0,0,8,3,1,1,1,1,1,0,1,1,1,1
"AH2288","100",492,"TRUE","22","UKRN01","Full-time","Yes","","4","Final Year","Psychology","Cis female",2,1,2,1,1,1,2,2,2,-1,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,1,2,0,0,1,1,0,1,1,"The results of many older studies, including famous ones, which a lot of current psychology was built on, are not found to be replicated. This puts a lot of findings into doubt.",1,1,1,"",1,0,"UKRN",2,32,1,15,0.9375,6,0.75,8,3,1,1,1,1,1,1,1,1,1,1
"AH530","100",1036,"TRUE","20","UKRN08","Full-time","No","","3","Year 2","psychology with criminology","female",1,1,0,-1,1,1,1,1,1,-2,2,1,1,-1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,-1,-1,1,-1,-1,1,1,0,1,1,"when studies that are replicated do not get the same result",0,0,0,"",1,0,"UKRN",2,18,1,7,0.4375,-1,-0.125,2,0,1,1,1,1,1,1,1,1,1,1
"AH5854","100",722,"TRUE","18","UNI10","Full-time","Yes","","3","Year 1","BSc in Psychology ","Female ",2,1,1,-1,-1,1,1,1,1,1,1,1,-1,-1,-1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,1,0,-1,1,1,1,0,NA,"",0,0,0,"",1,0,"Non-UKRN",2,374,NA,6,0.375,3,0.375,3,0,1,1,1,1,1,0,1,1,1,1
"AJ6768","100",342,"TRUE","19","UKRN01","Full-time","No","","3","Year 2","PSYchology","male",2,2,1,1,-1,1,1,1,1,1,1,2,1,-1,0,-1,1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,1,-1,1,1,1,1,0,"Important for a study to be replicable",0,0,1,"",1,0,"UKRN",2,123,0,12,0.75,4,0.5,5,3,1,1,1,1,1,1,1,1,1,1
"AK1144","43",81915,"FALSE","24","UKRN01","Full-time","Yes","","3","Year 2","Bsc Psychology","female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",1,0,"UKRN",2,468,NA,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,0,0,1
"AK2263","100",1937,"TRUE","18","UNI06","Full-time","Yes","","4","Year 1","Psychology and Business Management","Male",2,2,1,0,0,1,1,1,1,0,1,2,2,-2,0,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,2,1,2,-1,-1,1,1,1,1,1,"many studies are impossible to reproduce",0,0,1,"",1,0,"Non-UKRN",2,525,0,11,0.6875,6,0.75,3,1,1,1,1,1,1,1,1,1,1,1
"AK3752","100",1623,"TRUE","18","UNI19","Full-time","Other (Please specify)","It can be added","3","Year 1","BSc Psychology","Female",1,2,0,-1,1,1,2,2,1,0,0,2,0,1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,-2,0,0,-1,1,1,1,"When other researchers cannot replicate the findings of a study",0,0,1,"",1,0,"Non-UKRN",2,414,1,11,0.6875,1,0.125,1,1,1,1,1,1,1,1,1,1,1,1
"ak5522","100",560,"TRUE","20","UNI06","Full-time","Yes","","4","Year 1","psychology","female",2,2,2,0,1,1,0,-1,1,0,1,2,2,1,1,0,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,1,0,-1,-1,2,1,1,1,"we need to be able to replicate studies to test validity",0,1,1,"",1,0,"Non-UKRN",2,552,0,15,0.9375,4,0.5,6,2,1,1,1,1,1,1,1,1,1,1
"AK5527","100",1105,"TRUE","21","UNI06","Full-time","Yes","","4","Year 1","Psychology ","Male",1,1,1,1,0,1,0,0,1,1,1,1,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,-1,-1,-1,0,1,1,1,1,"Replication with different results ",0,0,1,"",1,0,"Non-UKRN",2,560,1,9,0.5625,2,0.25,1,0,1,1,1,1,1,1,1,1,1,1
"AK6343","100",734,"TRUE","21","UKRN08","Full-time","No","","3","Year 2","BSC Hons Psychology ","Female",1,1,0,2,1,1,1,0,1,1,0,2,1,0,0,-1,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,-1,0,1,1,1,1,"An issue that means that most classic studies cannot be replicated ",0,1,1,"",1,0,"UKRN",2,42,0,11,0.6875,5,0.625,5,3,1,1,1,1,1,1,1,1,1,1
"AK7000","100",1224,"TRUE","22","UNI10","Full-time","No","","3","Final Year","Psychology","Female ",2,1,0,-1,2,2,2,1,2,-2,2,2,0,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,-1,-1,1,-2,2,-1,0,NA,"",0,0,1,"",1,0,"Non-UKRN",2,338,NA,17,1.0625,0,0,7,1,1,1,1,1,1,0,1,1,1,1
"AK7530","100",4943,"TRUE","20","UKRN08","Full-time","Yes","","3","Year 2","Psychology","Female ",1,1,1,-1,2,1,2,2,2,-1,2,2,-1,0,-1,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,0,2,1,2,1,1,1,1,2,1,1,"When attempts are made to replicate a study different results are obtained. The study cannot be replicated. ",0,1,1,"",1,0,"UKRN",2,24,1,13,0.8125,11,1.375,5,1,1,1,1,1,1,1,1,1,1,1
"AL7295","98",1434,"FALSE","22","UKRN08","Full-time","No","","3","Year 2","BSC Honors Psychology","Female",2,2,-1,1,0,1,1,1,1,-1,1,2,2,2,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,2,1,1,1,2,1,1,1,"Where many psychology studies which have been replicated do not find the same results, especially in social psychology.",1,1,1,"",1,0,"UKRN",2,205,1,16,1,11,1.375,5,0,1,1,1,1,1,1,1,1,1,1
"AM0900","100",730,"TRUE","19","UKRN01","Full-time","Yes","","4","Year 1","Psychology ","Female",2,1,0,0,0,1,1,1,1,0,2,2,0,-1,-1,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,2,1,1,-2,0,0,1,1,0,NA,"",0,0,1,"",1,0,"UKRN",2,315,NA,8,0.5,4,0.5,3,3,1,1,1,1,1,0,1,1,1,1
"AM1118","100",2008,"TRUE","22","UKRN08","Full-time","No","","3","Year 2","Psychology Bsc(Hons)","Male",2,2,0,0,1,1,1,1,1,1,1,2,1,-2,-1,-1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,2,-1,-1,0,0,1,1,1,"Refers to studies being too difficult to replicate and therefore cannot test whether the results are reliable.",1,0,1,"",1,0,"UKRN",2,45,1,10,0.625,2,0.25,6,4,1,1,1,1,1,1,1,1,1,1
"AM1155","100",742,"TRUE","19","UNI06","Full-time","Yes","","4","Year 2","psychology","female",1,1,1,-1,0,0,2,1,0,-2,1,2,0,-1,-1,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,1,-1,-1,-1,-1,1,1,0,NA,"",1,0,1,"",1,0,"Non-UKRN",2,527,NA,3,0.1875,-2,-0.25,8,0,1,1,1,1,1,0,1,1,1,1
"AM1317","100",502,"TRUE","20","UNI19","Full-time","No","","3","Year 1","Paychology","female ",-1,1,1,1,1,0,1,1,1,1,1,2,1,-1,-1,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,2,1,1,1,1,0,"A study is not valid if it is not replicable. So there is a problem with not being able to replicate studies.",0,0,0,"",1,0,"Non-UKRN",2,604,0,8,0.5,9,1.125,1,1,1,1,1,1,1,1,1,1,1,1
"am4323","98",726,"FALSE","41","UNI75","Full-time","Yes","","3","Placement Year","BSc Psychology","Male",1,1,0,1,0,1,0,-1,-1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,"",0,0,1,"no",1,0,"Non-UKRN",2,489,NA,4,0.25,1,0.125,2,1,1,1,1,1,1,0,1,1,1,1
"AM9054","100",1986,"TRUE","20","UKRN08","Full-time","Yes","","4","Year 1","Psychology","Female",2,2,1,-1,1,0,-1,-1,1,-2,1,1,1,0,-1,-2,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0,1,2,1,-2,-2,0,-1,1,1,1,1,"Results of many scientific studies are difficult or impossible to replicate. And the replication crisis thus menas the failure to replicate many published research fingings.",1,1,1,"",1,0,"UKRN",2,26,1,2,0.125,0,0,7,5,1,1,1,1,1,1,1,1,1,1
"AM9495","100",1495,"TRUE","18","UNI08","Full-time","No","","3","Year 1","Psychology","Female",1,1,0,1,1,0,1,0,-1,1,0,1,1,1,-1,-1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,-1,1,-1,-1,1,0,1,1,0,"trying to replicate the same aim, methods, materials but with different sample, but that's only if accessible ?",0,1,1,"",1,0,"Non-UKRN",2,314,0,6,0.375,1,0.125,5,3,1,1,1,1,1,1,1,1,1,1
"AN1541","100",1948,"TRUE","21","UNI06","Full-time","Other (Please specify)","Optional placement year","3","Year 2","Psychology","Male",1,1,1,-1,1,0,1,0,1,-2,1,2,0,1,-2,-1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,-1,-1,0,1,0,0,NA,"",0,0,0,"",1,0,"Non-UKRN",2,521,NA,4,0.25,1,0.125,3,3,1,1,1,1,1,0,1,1,1,1
"AN3414","100",1176,"TRUE","20","UNI10","Full-time","Yes","","4","Year 2","English Literature And Psychology ","Male",1,2,0,1,1,2,1,2,1,-2,2,2,0,-2,-2,-1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,2,1,1,-2,-2,1,2,2,1,0,"That psychology is under threat of replicating the same studies over and over again with no significant developments",0,0,1,"",1,0,"Non-UKRN",2,386,0,8,0.5,5,0.625,3,5,1,1,1,1,1,1,1,1,1,1
"an6104","100",1280,"TRUE","20","UNI74","Full-time","No","","2","Year 2","Psychology with Spanish","Female",-1,1,0,0,-1,1,1,1,-2,-1,1,2,-1,2,-2,-2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,-2,-2,0,2,1,0,NA,"",0,0,1,"",1,0,"Non-UKRN",2,357,NA,-1,-0.0625,1,0.125,1,0,1,1,1,1,1,0,1,1,1,1
"AO0756","100",367,"TRUE","20","UNI06","Full-time","Yes","","4","Year 1","Psychology","female",0,0,1,0,1,0,0,0,0,0,1,2,1,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,-1,0,2,-1,0,-1,1,0,0,NA,"",0,0,1,"",1,0,"Non-UKRN",2,705,NA,4,0.25,0,0,1,7,1,1,1,1,1,0,1,1,1,1
"AO6854","100",1480,"TRUE","19","UNI10","Full-time","Yes","","3","Year 1","Criminology and Psychology ","Female ",2,2,0,1,0,1,2,1,2,0,1,2,0,-2,-1,-2,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,2,-1,-1,1,0,1,0,NA,"",1,0,1,"",1,0,"Non-UKRN",2,376,NA,9,0.5625,4,0.5,6,2,1,1,1,1,1,0,1,1,1,1
