"ID","Progress","Uni","PTY","Current_Year","Course_Duration","Course_Name","Gender","Age","UKRN","timepoint","Perception_Replication1","Perception_Replication2","Perception_Materials1","Perception_Materials2","Perception_Education1","Perception_Education2","Perception_Access1","Perception_Access2","Perception_Data1","Perception_Data2","Perception_Power1","Perception_Power2","Perception_Preregistration1","Perception_Preregistration2","Perception_Preprint1","Perception_Preprint2","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Experience_Replication","Experience_Materials","Experience_Education","Experience_Access","Experience_Data","Experience_Power","Experience_Preregistration","Experience_Preprint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","applicability","comments"
443,"100","UNI75","No","Final Year","3","BSc Psychology","Female","46","Non-UKRN",2,2,2,2,2,1,2,1,-1,2,-2,1,2,1,-1,-2,-1,-1,2,2,-2,-1,1,1,2,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,11,0.6875,4,0.5,4,3,0,NA,NA,0,0,1,""
464,"100","UNI75","No","Year 1","3","Psychology","Male","22","Non-UKRN",2,2,1,0,2,1,1,2,2,-1,0,2,1,1,-1,0,-1,1,1,1,-2,-1,-1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,12,0.75,1,0.125,4,0,0,NA,NA,0,0,1,""
175,"100","UKRN01","Yes","Year 2","4","Psychology BSc","Male","20","UKRN",2,2,2,2,-2,2,-2,2,0,1,-2,2,2,2,-2,0,-2,2,-2,1,0,1,1,2,-1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,7,0.4375,4,0.5,8,0,1,0,0,0,1,1,""
25,"100","UKRN01","Yes","Year 2","4","BSc Psychology","Female","19","UKRN",2,1,2,0,-2,-1,0,1,-1,-1,-2,1,1,1,0,0,-1,-2,-2,-1,-1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,-1,-0.0625,-4,-0.5,8,1,1,1,0,1,0,1,""
265,"100","UKRN01","Yes","Year 1","3","Psychology ","Female ","19","UKRN",2,1,2,1,1,0,1,1,1,-1,-2,1,1,0,-1,-1,-1,2,-1,1,-1,-1,-1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,4,0.25,1,0.125,3,0,0,NA,NA,0,0,0,""
401,"100","UNI10","Yes","Year 1","4","Psychology with a placement year","Female","19","Non-UKRN",2,2,2,0,-1,0,-1,-1,-1,1,0,1,1,-1,-1,-1,-1,1,1,1,-1,-1,-1,1,-1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,-1,-0.0625,0,0,3,2,0,NA,NA,1,0,1,""
493,"100","UNI64","Yes","Year 1","3","Psychology (Forensics and Psychopathology)","Female","18","Non-UKRN",2,2,1,1,0,0,0,1,-1,1,-1,1,2,2,1,-1,-1,1,-1,-1,-1,-1,0,-1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,8,0.5,-3,-0.375,4,0,1,1,0,1,1,1,""
188,"98","UKRN01","Yes","Year 2","4","Psychology","Female","19","UKRN",2,1,2,2,0,1,1,2,2,2,1,1,1,0,1,-1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,17,1.0625,9,1.125,7,1,1,1,1,1,1,1,""
583,"100","UNI06","Yes","Year 2","4","Psychology ","Female","20","Non-UKRN",2,1,1,1,-2,1,1,2,1,1,0,2,0,0,0,0,0,-1,-1,-1,0,-1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,9,0.5625,-3,-0.375,2,1,1,1,0,0,1,1,""
434,"100","UNI75","Yes","Year 2","3","Applied psychology","Female ","28","Non-UKRN",2,0,1,1,-1,-1,0,1,1,1,-2,1,2,1,1,-1,1,2,1,0,0,-2,-1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,6,0.375,2,0.25,8,2,0,NA,NA,0,0,0,""
