"ID","Progress","Duration_Seconds","Finished","Uni","Full_Part","PTY","PTY_Other","Course_Duration","Current_Year","Course_Duration_Other","Current_Year_Other","Course_Name","Previous_Training","Gender","Perception_1","Perception_2","Perception_3","Perception_4","Perception_5","Perception_6","Perception_7","Perception_8","Perception_9","Perception_10","Perception_11","Perception_12","Perception_13","Perception_14","Perception_15","Perception_16","Awareness_1","Awareness_2","Awareness_3","Awareness_4","Awareness_5","Awareness_6","Awareness_7","Awareness_8","Experience_1","Experience_2","Experience_3","Experience_4","Experience_5","Experience_6","Experience_7","Experience_8","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","crisis_aware","crisis_learnt","understanding_crisis","os_explain","os_learnt","applicability","comments","long_desc","crisis_explain","include","UKRN","timepoint","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","Perception_Completed","Awareness_Completed","Experience_Completed","Knowledge_Completed","crisis_aware_Completed","crisis_learnt_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed","crisis_explain_Completed"
110,"100",422,"1","UKRN09","","","","","Year 2","","","","","1",-2,0,-1,0,-1,0,0,0,1,0,1,-1,1,-1,2,-1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,1,1,1,-1,-2,1,-1,2,-1,1,1,"When it is difficult to generalise findings",0,0,0,"No","When it is difficult to generalise findings",0,1,"UKRN",3,-2,-0.125,0,0,8,4,1,1,1,1,1,1,1,1,1,1
111,"100",5023,"1","UKRN09","","","","","Year 1","","","","","1",1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,2,0,1,1,"The inability to replicate specific studies for specific findings, which is an issue as replicability can be essential for the validity of many studies.",1,1,0,"Objectively speaking, it can be a question mark when a significant study is not able to be replicated. However, I believe in a positive progress from Open Science's purpose and intentions. I may not have enough context or qualifications to pose a valid and authentic opinion, but I believe that the more detailedly transparent studies continue to be, whether they are significant or not, the easier it could become for them to be replicated in their intricacies or to find motives behind the impossibility of reproducibility. ","The inability to replicate specific studies for specific findings, which is an issue as replicability can be essential for the validity of many studies.",1,1,"UKRN",3,8,0.5,5,0.625,8,2,1,1,1,1,1,1,1,1,1,1
112,"100",2199,"1","UKRN09","","","","","Year 2","","","","","2",2,1,0,-1,0,0,-1,-1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,1,1,-1,1,-2,-1,0,-1,1,0,0,"",1,1,1,"","",NA,1,"UKRN",3,5,0.3125,-2,-0.25,8,4,1,1,1,1,1,1,1,1,1,0
113,"100",889,"1","UKRN09","","","","","Year 2","","","","","2",2,1,0,0,1,1,2,0,0,0,1,-1,1,-1,-1,-1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,-1,0,0,1,0,0,"",0,0,1,"","",NA,1,"UKRN",3,5,0.3125,2,0.25,8,3,1,1,1,1,1,1,1,1,1,0
114,"100",2155,"1","UKRN09","","","","","Year 2","","","","","2",1,1,1,2,-2,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,2,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,-1,-1,-2,-1,1,1,1,1,"replicating studies and not getting similar results",0,0,1,"","replicating studies and not getting similar results",1,1,"UKRN",3,-13,-0.8125,-1,-0.125,8,3,1,1,1,1,1,1,1,1,1,1
115,"100",2700,"1","UKRN09","","","","","Year 2","","","","","2",0,1,0,2,-1,0,1,1,-2,1,1,2,2,2,1,-2,1,1,1,NA,1,NA,1,1,0,0,1,0,0,0,0,1,1,2,1,-1,-2,-1,2,1,1,1,"The replication crisis is a concern in the field of research in which many studies which have been historically perceived as valid and reliable were found to be invalid due to issues such as falsification of data.",0,1,1,"no","The replication crisis is a concern in the field of research in which many studies which have been historically perceived as valid and reliable were found to be invalid due to issues such as falsification of data.",1,1,"UKRN",3,9,0.5625,3,0.375,NA,2,1,0,1,1,1,1,1,1,1,1
116,"100",3622,"1","UKRN09","","","","","Year 2","","","","","1",2,2,1,1,1,1,1,0,1,0,1,0,0,-1,0,-2,NA,NA,1,NA,NA,1,NA,1,0,0,1,0,0,0,0,1,1,1,1,-1,0,1,-1,1,0,0,"",1,0,1,"","",NA,1,"UKRN",3,8,0.5,3,0.375,NA,2,1,0,1,1,1,1,1,1,1,0
117,"100",1316,"1","UKRN09","","","","","Year 2","","","","","2",1,0,0,-1,-1,0,1,0,1,-1,1,-1,0,0,1,-1,1,1,1,1,NA,NA,1,1,0,0,1,0,0,0,0,1,1,0,1,-1,-1,1,0,0,0,0,"",0,0,1,"","",NA,1,"UKRN",3,0,0,1,0.125,NA,2,1,0,1,1,1,1,1,1,1,0
119,"100",3982,"1","UKRN09","","","","","Year 1","","","","","2",2,2,1,-2,1,1,1,-1,1,-1,1,-1,0,-1,-1,-1,1,1,1,1,NA,1,NA,1,0,0,0,0,0,0,0,0,1,1,-1,-1,-2,1,1,1,1,1,"Repeating research to examine the extent to which original research findings generalise across time and situations",1,1,1,"","Repeating research to examine the extent to which original research findings generalise across time and situations",0,1,"UKRN",3,2,0.125,1,0.125,NA,0,1,0,1,1,1,1,1,1,1,1
120,"100",1928,"1","UKRN09","","","","","Year 1","","","","","2",1,2,0,1,-2,1,1,1,1,1,1,1,0,-1,-2,-2,1,NA,1,NA,NA,NA,NA,1,0,0,1,0,0,0,0,0,1,1,1,-1,-1,-1,1,1,1,1,"when results cannot be reproduced ",0,1,1,"","when results cannot be reproduced ",1,1,"UKRN",3,4,0.25,2,0.25,NA,1,1,0,1,1,1,1,1,1,1,1
