"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
54,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
55,"UKRN09","","","Year 1","","","","1","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,0,1,1
56,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,1,1
57,"UKRN09","","","Year 2","","","","1","UKRN",3,1,1,1,0,0,1,1,1,6,1,1,1,0,0,1
58,"UKRN09","","","Year 1","","","","3","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,0,0,1
59,"UKRN09","","","Year 2","","","","1","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,1,1
60,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,1,0,1
61,"UKRN09","","","Year 1","","","","1","UKRN",3,0,0,1,0,1,1,1,1,5,0,0,NA,0,0,1
62,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,0,0,1,0,1,5,0,0,NA,1,0,1
63,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,1,1
64,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,1,1,0,1
65,"UKRN09","","","Year 2","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
66,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,0,0,NA,0,0,1
67,"UKRN09","","","Year 1","","","","1","UKRN",3,1,1,1,1,1,1,0,1,7,0,0,NA,0,0,1
68,"UKRN09","","","Year 1","","","","2","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,0,1,1
69,"UKRN09","","","Year 1","","","","2","UKRN",3,0,0,1,0,0,0,0,1,2,0,0,NA,1,1,1
70,"UKRN09","","","Year 1","","","","1","UKRN",3,1,1,1,1,1,1,1,1,8,1,1,0,1,1,1
