"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Knowledge_Replication","Knowledge_Materials","Knowledge_Education","Knowledge_Access","Knowledge_Data","Knowledge_Power","Knowledge_Preregistration","Knowledge_Preprint","Knowledge_Score_Total","Knowledge_Score_Mean","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Knowledge_Completed"
"69",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70",74,"UNI11","Full-time","No","Year 1","3","Bsc Psychology","Yes","female","Non-UKRN",1,3,1,1,1,1,1,3,3,14,14,1,1,1,1,1,1
"71",75,"UNI11","Full-time","No","Year 1","3","Psychology BSc","Yes","Female","Non-UKRN",1,4,4,3,3,1,3,3,4,25,25,1,0,0,0,0,1
"72",76,"UNI11","Full-time","No","Year 1","3","Psychology","No","female","Non-UKRN",1,3,3,3,3,1,1,3,1,18,18,1,1,0,0,0,1
"73",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74",79,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,1,1,1,1,1,3,2,11,11,1,1,1,0,0,1
"75",80,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology ","Yes","Female","UKRN",1,3,2,3,1,1,3,2,3,18,18,1,0,0,0,0,1
"76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"79",84,"UKRN01","Full-time","Yes","Year 2","3","Psychology","Yes","Female","UKRN",1,3,2,3,2,1,3,3,3,20,20,1,1,0,0,1,1
"80",85,"UKRN01","Full-time","Yes","Year 2","4","Psychology ","Yes","Female","UKRN",1,3,3,3,4,1,3,4,4,25,25,1,1,1,0,0,1
"81",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"82",87,"UKRN01","Full-time","Yes","Year 1","4","BSc psychology","Yes","Female","UKRN",1,2,1,1,1,0,2,4,2,13,13,1,0,0,0,0,1
"83",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"84",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",90,"UKRN01","Full-time","No","Year 1","3","Psychology Bsc","Yes","Female","UKRN",1,1,4,3,0,0,1,3,3,15,15,1,1,0,0,1,1
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"88",93,"UKRN01","Full-time","Yes","Year 1","3","Psychology Bsc","Yes","Female","UKRN",1,3,3,3,1,0,0,2,2,14,14,1,0,1,0,0,1
"89",94,"UKRN01","Full-time","Yes","Placement Year","3","BSc Psychology","Yes","Female","UKRN",1,3,3,2,2,1,3,1,2,17,17,1,1,1,0,0,1
"90",95,"UKRN01","Full-time","Yes","Year 1","4","Psychology with placement year","Yes","Female","UKRN",1,4,3,2,1,1,0,3,1,15,15,1,1,0,0,0,1
"91",96,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,4,3,1,1,1,1,3,3,17,17,1,1,0,0,0,1
"92",97,"UKRN01","Full-time","Yes","Placement Year","4","Psychology BsC","Yes","Female ","UKRN",1,3,1,4,1,2,3,1,3,18,18,1,1,1,0,0,1
