"ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Awareness_Replication","Awareness_Materials","Awareness_Education","Awareness_Access","Awareness_Data","Awareness_Power","Awareness_Preregistration","Awareness_Preprint","Awareness_Score_Total","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Awareness_Completed"
756,"UNI52","Full-time","No","Year 1","3","Psychology ","No","Female ","Non-UKRN",1,1,1,0,1,1,1,1,0,6,1,1,1,0,0,1
757,"UNI52","Full-time","No","Year 2","3","Childhood youth studies and psychology ","Yes","Female ","Non-UKRN",1,1,1,0,1,1,0,0,1,5,1,0,NA,0,0,1
758,"UNI52","Full-time","No","Year 2","3","BSc Psychology","Yes","Female","Non-UKRN",1,0,1,1,0,1,1,0,1,5,0,NA,NA,0,0,1
759,"UKRN08","Full-time","Yes","Year 2","3","Psychology with Criminology","Yes","Female","UKRN",1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1
760,"UNI52","Full-time","No","Year 2","3","Psychology and Creative Writing ","No","Female","Non-UKRN",1,0,0,0,0,0,0,0,1,1,0,NA,NA,0,0,1
761,"UKRN08","Full-time","No","Year 1","3","Psychology ","Yes","Female","UKRN",1,1,1,1,1,1,1,0,1,7,1,1,0,0,0,1
762,"UNI52","Full-time","No","Year 2","3","Psychology","No","Female","Non-UKRN",1,1,0,1,1,1,1,0,1,6,1,1,1,0,0,1
763,"UNI52","Full-time","No","Year 2","3","Psychology","Yes","female ","Non-UKRN",1,0,0,0,1,1,0,0,0,2,0,NA,NA,0,0,1
764,"UKRN08","Full-time","Yes","Placement Year","4","BSc Biological Psychology","Yes","Female","UKRN",1,1,1,0,0,1,1,1,1,6,1,1,NA,0,0,1
765,"UNI52","Full-time","No","Year 2","3","Psychology Bsc","Yes","Female","Non-UKRN",1,0,0,1,0,0,0,0,1,2,0,NA,NA,0,0,1
766,"UNI52","Full-time","No","Final Year","3","Psychology ","No","Female","Non-UKRN",1,1,1,1,0,1,1,1,1,7,1,0,0,1,0,1
767,"UNI52","Full-time","No","Year 1","3","Psychology Hons BSC","No","Female ","Non-UKRN",1,1,1,1,0,0,1,0,1,5,1,0,0,0,0,1
768,"UNI52","Full-time","No","Year 1","3","Psychology with English Language","Yes","Female","Non-UKRN",1,0,0,1,1,0,1,1,1,5,1,1,0,0,0,1
769,"UNI52","Full-time","No","Year 2","3","Psychology","No","Female","Non-UKRN",1,0,0,0,0,0,0,0,1,1,0,NA,NA,0,1,1
770,"UNI52","Full-time","No","Year 2","3","Psychology BSc ","No","Female","Non-UKRN",1,1,0,0,0,0,0,1,0,2,0,NA,NA,0,0,1
771,"UKRN08","Full-time","Yes","Placement Year","4","BSc Psychology","Yes","male","UKRN",1,1,1,1,0,0,1,0,1,5,1,1,1,0,0,1
