"","ID","Uni","Full_Part","PTY","Current_Year","Course_Duration","Course_Name","Previous_Training","Gender","UKRN","timepoint","Perception_Replication1","Perception_Replication2","Perception_Materials1","Perception_Materials2","Perception_Education1","Perception_Education2","Perception_Access1","Perception_Access2","Perception_Data1","Perception_Data2","Perception_Power1","Perception_Power2","Perception_Preregistration1","Perception_Preregistration2","Perception_Preprint1","Perception_Preprint2","Perception_Score_Total","Perception_Score_Mean","crisis_aware","crisis_learnt","crisis_explain","os_explain","os_learnt","Perception_Completed"
"107",110,"UKRN01","Full-time","Yes","Year 2","4","Psychology","Yes","Female","UKRN",1,-1,1,0,1,1,2,1,1,-1,0,2,2,0,2,-2,-1,8,8,1,1,1,0,0,1
"108",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",112,"UKRN01","Full-time","Yes","Year 2","4","Psychology ","Yes","Female","UKRN",1,2,2,1,1,1,1,1,1,1,-2,1,2,1,-1,-1,-1,10,10,1,1,1,0,1,1
"110",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",115,"UKRN01","Full-time","No","Year 1","3","Psychology","No","Female","UKRN",1,2,2,1,1,1,1,1,1,2,0,1,-1,0,-2,0,-1,9,9,1,0,1,0,0,1
"113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",118,"UKRN01","Full-time","Yes","Year 1","4","Psychology","Yes","female","UKRN",1,2,2,2,2,2,2,1,-1,2,2,1,2,1,-1,-1,1,19,19,1,0,1,0,0,1
"116",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",121,"UKRN01","Full-time","No","Year 2","3","Psychology","Yes","Female","UKRN",1,1,1,1,-1,0,0,1,1,-1,-1,0,2,0,1,-2,-1,2,2,1,0,1,0,0,1
"119",122,"UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Female","UKRN",1,0,2,2,2,0,2,1,0,1,1,1,2,2,2,2,1,21,21,1,1,1,1,0,1
"120",123,"UKRN01","Full-time","Yes","Year 2","4","Psychology BSc","Yes","Female","UKRN",1,1,2,1,1,1,1,2,2,2,-1,-1,2,1,1,-1,-2,12,12,1,1,0,0,0,1
"121",124,"UKRN01","Full-time","Yes","Year 1","4","BSc Psychology","Yes","Female","UKRN",1,1,1,0,1,0,1,1,0,1,-2,-1,2,1,1,-1,-1,5,5,1,0,1,0,0,1
