"ID","Progress","Duration_Seconds","Finished","Uni","Full_Part","PTY","PTY_Other","Course_Duration","Current_Year","Course_Duration_Other","Current_Year_Other","Course_Name","Previous_Training","Gender","Perception_1","Perception_2","Perception_3","Perception_4","Perception_5","Perception_6","Perception_7","Perception_8","Perception_9","Perception_10","Perception_11","Perception_12","Perception_13","Perception_14","Perception_15","Perception_16","Awareness_1","Awareness_2","Awareness_3","Awareness_4","Awareness_5","Awareness_6","Awareness_7","Awareness_8","Experience_1","Experience_2","Experience_3","Experience_4","Experience_5","Experience_6","Experience_7","Experience_8","Knowledge_1","Knowledge_2","Knowledge_3","Knowledge_4","Knowledge_5","Knowledge_6","Knowledge_7","Knowledge_8","crisis_aware","crisis_learnt","understanding_crisis","os_explain","os_learnt","applicability","comments","include","UKRN","timepoint","crisis_explain","Perception_Score_Total","Perception_Score_Mean","Knowledge_Score_Total","Knowledge_Score_Mean","Awareness_Score_Total","Experience_Score_Total","Perception_Completed","Awareness_Completed","Experience_Completed","Knowledge_Completed","crisis_aware_Completed","crisis_learnt_Completed","os_explain_Completed","os_learnt_Completed","applicability_Completed","crisis_explain_Completed"
35,"100",4325,"TRUE","UNI01","Full-time","No","","3","Final Year","","","Psychology with Criminology","No","Female",2,2,2,1,2,2,2,1,0,0,1,2,0,1,-2,-2,1,1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,1,1,2,-1,-1,1,1,2,1,1,"That all 'new' studies are currently just trying to replicate the results of previous studies without bringing anything actually new into the field. It becomes producing more evidence for already existing evidence and does not result in any progress in knowledge.",1,1,1,"",1,"Non-UKRN",1,0,14,0.875,6,0.75,6,6,1,1,1,1,1,1,1,1,1,1
36,"100",328,"TRUE","UNI02","Full-time","Yes","","3","Year 2","","","Psychology","No","Female",1,2,0,-2,0,2,2,1,0,-2,2,2,2,-1,-2,-1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,2,-1,-2,-2,2,-2,1,1,"If a study cannot be replicated then it isn’t correct",0,0,1,"",1,"Non-UKRN",1,0,6,0.375,-1,-0.125,2,6,1,1,1,1,1,1,1,1,1,1
37,"100",350,"TRUE","UNI02","Full-time","No","","3","Year 2","","","Bsc (Hons) Psychology","No","Female",0,-1,0,0,0,0,0,-1,-1,-1,2,1,0,0,-1,-1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,-1,-1,-1,-1,-1,1,1,1,1,"Copying",0,0,0,"No",1,"Non-UKRN",1,0,-3,-0.1875,-3,-0.375,1,7,1,1,1,1,1,1,1,1,1,1
38,"100",3227,"TRUE","UNI02","Full-time","Yes","","4","Year 2","","","Forensic psychology ","No","Female ",1,-1,0,1,0,0,1,1,1,0,1,2,1,1,-1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,1,0,0,1,0,1,-1,0,-1,1,-1,1,1,"Researchers who complete the same data to try and get a result. People need to learn from data that hasnt produced results too to see if other variables would make a difference. ",1,1,1,"Some questions we are aware of  in second year but not all",1,"Non-UKRN",1,0,9,0.5625,0,0,6,2,1,1,1,1,1,1,1,1,1,1
39,"100",375,"TRUE","UNI01","Full-time","No","","3","Year 1","","","Psychology BSc (Hons)","Yes","Female",1,2,2,1,0,1,1,0,0,0,-1,2,0,1,-1,-1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,-1,-1,1,1,-1,1,-1,0,0,NA,"",0,0,1,"",1,"Non-UKRN",1,9999,8,0.5,-1,-0.125,0,2,1,1,1,1,1,0,1,1,1,0
40,"100",896,"TRUE","UNI01","Full-time","No","","3","Year 1","","","Bsc Psychology (Hons)","Yes","Female",1,1,0,1,-1,-1,1,1,-1,-2,1,1,2,1,-1,-2,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,1,-1,-1,-1,-2,1,1,-1,1,1,"When studies are replicated it is difficult to get the same results",0,0,1,"",1,"Non-UKRN",1,1,2,0.125,-3,-0.375,7,0,1,1,1,1,1,1,1,1,1,1
41,"100",504,"TRUE","UNI02","Full-time","No","","3","Year 2","","","Psychology with clinical skills","No","Female ",2,1,1,1,1,1,1,2,0,-2,2,1,-1,1,-1,-1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,-1,-2,-1,1,0,1,0,"Not getting the same results to prove anything ",0,0,1,"No",1,"Non-UKRN",1,1,9,0.5625,0,0,3,0,1,1,1,1,1,1,1,1,1,1
42,"100",493,"TRUE","UNI01","Full-time","Yes","","3","Year 1","","","Psychology BSc","Yes","Male",1,1,1,-1,2,0,1,-1,1,-1,2,1,1,-1,-1,-1,0,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,-2,-2,1,2,0,0,NA,"",0,0,1,"None.",1,"Non-UKRN",1,9999,5,0.3125,1,0.125,4,2,1,1,1,1,1,0,1,1,1,0
44,"100",422,"TRUE","UNI01","Full-time","No","","3","Year 2","","","Psychology","No","Female",1,2,1,2,1,1,1,-1,0,-2,0,2,2,2,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,2,1,1,0,0,-2,1,1,1,1,"Studies are not being replicated because of pressure on researchers to publish papers and journals being unintrested in replications and instead focusing on significant novel findings. ",0,0,1,"",1,"Non-UKRN",1,1,12,0.75,4,0.5,3,2,1,1,1,1,1,1,1,1,1,1
45,"100",662,"TRUE","UKRN07","Full-time","No","","3","Final Year","","","Psychology Bsc","No","Female",1,1,1,2,-1,1,-1,1,1,-1,1,1,1,0,-1,-2,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,0,2,-2,2,1,0,2,0,1,0,NA,"",0,0,1,"",1,"UKRN",1,9999,5,0.3125,6,0.75,4,3,1,1,1,1,1,0,1,1,1,0
46,"100",335,"TRUE","UKRN07","Full-time","Yes","","4","Final Year","","","Psychology with Professional Placement","Yes","Female",1,1,1,1,2,1,1,2,1,1,1,2,1,-1,1,-1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,2,1,1,1,1,1,2,1,1,1,"Very few psychology studies, when replicated (done multiple times) with the same method have the same/ similar results",1,0,1,"",1,"UKRN",1,1,15,0.9375,10,1.25,7,1,1,1,1,1,1,1,1,1,1,1
47,"51",9365,"FALSE","UKRN02","Full-time","Yes","","3","Placement Year","","","psychology","Yes","Female",2,1,0,1,2,2,2,2,0,2,2,2,-1,0,-2,-1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",1,"UKRN",1,9999,14,0.875,NA,NA,1,0,1,1,1,0,0,0,0,0,0,0
48,"100",427,"TRUE","UKRN07","Full-time","No","","3","Final Year","","","BSc Psychology","Yes","Female",2,2,0,1,1,0,2,1,0,-1,1,2,-1,1,-1,-1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,2,1,-1,-1,0,1,1,1,1,"That many studies in psychology have not/can not be replicated for various reasons. When studies are replicated they often show different results - which is why replication is important",0,0,1,"",1,"UKRN",1,1,9,0.5625,5,0.625,3,1,1,1,1,1,1,1,1,1,1,1
49,"100",327,"TRUE","UKRN07","Full-time","Yes","","4","Final Year","","","Psychology with Professional Placement","Yes","Male",2,2,2,1,2,2,2,1,2,2,2,2,-1,0,-1,-1,1,1,1,1,0,1,1,1,1,0,1,0,0,0,1,1,2,2,2,-1,1,2,1,2,1,1,"Researchers aren't making their methods and data available for full replicability, and may also be using practices to alter their results. Can also be linked with publication bias. ",0,0,1,"",1,"UKRN",1,1,19,1.1875,11,1.375,7,4,1,1,1,1,1,1,1,1,1,1
50,"100",403,"TRUE","UNI01","Full-time","No","","3","Year 2","","","Psychology with Criminology","No","Female",-1,1,2,-2,2,2,2,2,2,-2,1,1,2,-1,1,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,0,-1,-1,2,2,-1,1,1,2,0,NA,"",1,1,1,"",1,"Non-UKRN",1,9999,14,0.875,5,0.625,6,1,1,1,1,1,1,0,1,1,1,0
51,"100",359,"TRUE","UKRN07","Full-time","No","","3","Final Year","","","Psychology with Neuroscience","Yes","Female",1,1,1,-1,1,1,2,1,1,0,-1,2,1,-1,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0,0,1,1,1,1,2,1,1,1,1,1,1,1,"The inability to reproduce findings due to corrupt methodology or practices or data found by chance ",1,1,1,"",1,"UKRN",1,1,11,0.6875,9,1.125,5,2,1,1,1,1,1,1,1,1,1,1
52,"46",373,"FALSE","UNI02","Full-time","No","","3","Year 1","","","Psychology with clinical skills","Yes","female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,"",1,"Non-UKRN",1,9999,NA,NA,NA,NA,0,0,0,1,1,0,0,0,0,0,0,0
53,"100",2256,"TRUE","UNI04","Full-time","No","","3","Year 2","","","BSc Psychology","Yes","Female",2,2,-1,1,-1,2,2,1,2,-1,2,2,2,-2,-2,-2,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,0,2,1,2,-2,-1,0,1,0,0,NA,"",1,0,1,"",1,"Non-UKRN",1,9999,9,0.5625,3,0.375,4,4,1,1,1,1,1,0,1,1,1,0
54,"100",813,"TRUE","UNI04","Full-time","Other (Please specify)","Year Abroad","4","Final Year","","","Psychology (with a Year Abroad)","No","Female",2,1,0,1,2,2,2,1,1,-1,1,1,1,1,-1,-1,0,1,0,1,1,0,1,1,0,0,1,0,0,1,0,0,1,1,2,1,-1,-1,1,1,1,1,"It's an important issue in psychology, and future researchers should be aware of this. However, I believe researchers should also be bench marking their own and their peers work and have the stigmatization of ""non significant studies"" be removed.",0,0,1,"",1,"Non-UKRN",1,0,13,0.8125,5,0.625,5,2,1,1,1,1,1,1,1,1,1,1
55,"100",504,"TRUE","UNI04","Full-time","No","","3","Final Year","","","BSc Psychology","Yes","Female",2,2,1,-2,1,1,1,-1,-2,-2,0,2,-1,2,-1,-1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,-1,1,-1,-1,-1,0,1,1,1,"When a study has found a specific effect, but then others fail to find the same result when they carry out the exact same study",0,0,1,"",1,"Non-UKRN",1,1,2,0.125,-1,-0.125,2,1,1,1,1,1,1,1,1,1,1,1
